Party,Candidate,Total Votes,Margin,Constituency_Name,Constituency_Number
Bharatiya Janata Party,C.M.RAMESH,762069,296530,Anakapalle,5
Bharatiya Janata Party,DAGGUBATI PURANDHESHWARI,726515,239139,Rajahmundry,8
Bharatiya Janata Party,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Narsapuram,9
Bharatiya Janata Party,KIREN RIJIJU,205417,100738,Arunachal West,1
Bharatiya Janata Party,TAPIR GAO,145581,30421,Arunachal East,2
Bharatiya Janata Party,DILIP SAIKIA,868387,329012,Darrang-Udalguri,4
Bharatiya Janata Party,BIJULI KALITA MEDHI,894887,251090,Guwahati,5
Bharatiya Janata Party,AMARSING TISSO,334620,147603,Diphu,6
Bharatiya Janata Party,KRIPANATH MALLAH,545093,18360,Karimganj,7
Bharatiya Janata Party,PARIMAL SUKLABAIDYA,652405,264311,Silchar,8
Bharatiya Janata Party,KAMAKHYA PRASAD TASA,897043,248947,Kaziranga,10
Bharatiya Janata Party,RANJIT DUTTA,775788,361408,Sonitpur,11
Bharatiya Janata Party,PRADAN BARUAH,663122,201257,Lakhimpur,12
Bharatiya Janata Party,SARBANANDA SONOWAL,693762,279321,Dibrugarh,13
Bharatiya Janata Party,DR.SANJAY JAISWAL,580421,136568,Paschim Champaran,2
Bharatiya Janata Party,RADHA MOHAN SINGH,542193,88287,Purvi Champaran,3
Bharatiya Janata Party,ASHOK KUMAR YADAV,553428,151945,Madhubani,6
Bharatiya Janata Party,PRADEEP KUMAR SINGH,600146,20094,Araria,9
Bharatiya Janata Party,GOPAL JEE THAKUR,566630,178156,Darbhanga,14
Bharatiya Janata Party,RAJ BHUSHAN CHOUDHARY,619749,234927,Muzaffarpur,15
Bharatiya Janata Party,"\"JANARDAN SINGH \"\"SIGRIWAL\"\"\"",529533,102651,Maharajganj,19
Bharatiya Janata Party,RAJIV PRATAP RUDY,471752,13661,Saran,20
Bharatiya Janata Party,NITYANAND RAI,515965,60102,Ujiarpur,22
Bharatiya Janata Party,GIRIRAJ SINGH,649331,81480,Begusarai,24
